orig_row_rec,Wbname_fin,EMU_site_irn,Island,Shehia_cleaned,include,Year,month,niclo_by_site,Date_ed,month_survey_order,Visit,Shname,Wbtype,wbtype_fin,Wbtype2_ed,no_collected,Bul_pres_ed,Bglob,Bfor,Lym,Mel,Cleo,Pila,Lan,Cera,Neri,Thiara,Othsnail,tot_pres_all_genera,pres_non_bulinids,Infsnails,Infsnails_no,niclo_order,niclo_visit,Date_appl_ed,sprayed_but_no_bul,sprayed_when_Bul_presy,sprayed_when_Bul_presn,Sprayed_Steffi_ed,Sprayed_Steffi,HS8,HS10,PS,Barreldrip,NumberofHudsonsprayersused,Volumeofwatersprayedwithmachine,Nicl,N_Duration_min,N_Duration_new,Timeofapplicationhhmm,Numberofsprayers,Notesappl,M_Notesappl,monthly_precip
677,Kwakijindu,498883,Pemba,KINOWE,,2013,7,o,20/07/2013,14,4,KINOWE,"RICE PADDY, STREAM",rice/stream,temporary,,1,1,0,0,0,0,0,0,0,0,0,,1,0,,,11,3,20/07/2013,,1,0,1,1,0,0,1,0,,50,0.5,15,15 min,13:10:00,3,Used 50 Lts power sprayer,date of niclosamide was blank- added from survey date,6.1
678,Kwakijindu,498883,Pemba,KINOWE,,2013,9,y,05/09/2013,16,5,KINOWE,"RICE PADDY, STREAM",rice/stream,temporary,1,1,1,0,0,0,0,0,1,0,0,0,0,2,1,,,13,4,05/09/2013,,1,0,1,1,0,0,1,0,,100,1,6,6 min,12:02,3,,date of niclosamide was blank- added from survey date,19.4
681,Kwakijindu,498883,Pemba,KINOWE,,2014,8,o,19/08/2014,25,8,KINOWE,RICE PADDY,rice/stream,temporary,3,1,1,0,0,0,0,0,1,0,0,0,0,2,1,,,20,5,19/08/2014,,1,0,1,1,1,0,0,0,5,,,60,60 min,10:42,2,,,44.8
682,Kwakijindu,498883,Pemba,KINOWE,,2014,10,y,12/10/2014,27,9,KINOWE,RICE PADDY,rice/stream,temporary,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,,,22,6,12/10/2014,,1,0,1,1,0,0,1,0,,150,1.5,16,16 min,10:51,4,,,54.6
706,Kwakijindu,498883,Pemba,KINOWE,,2015,8,o,04/08/2015,37,1,KINOWE,RICE PADDY,rice/stream,temporary,6,1,1,0,0,0,0,0,1,0,0,0,0,2,1,,,32,8,04/08/2015,,1,0,1,1,0,0,1,0,,150,1.5,9,9 min,11:19,4,,mismatch survey and orig niclosamide date format- at some point the niclo date got switched incorrectly to MM/DD/YYYY,57.8
709,Kwakijindu,498883,Pemba,KINOWE,,2016,8,o,14/08/2016,47,4,KINOWE,RICE PADDY,rice/stream,temporary,3,1,1,0,0,0,0,0,1,0,0,0,0,2,1,,,42,11,14/08/2016,,1,0,1,1,1,0,0,0,2,,,12,12 min,10:13,2,,,128.5
1215,Kwamwanamwari,382690,Pemba,MBUZINI,,2014,3,,18/03/2014,21,7,MBUZINI,RICE PADDY,zlarge pond,permanent,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,,18,1,18/03/2014,,1,0,1,0,0,0,0,0,,,,,,,,,date application in month-day format- replaced with survey date; was negative for if sprayed but was a date,232.8
2672,Kwamzungu,498880,Unguja,BANDAMAJI,,2014,11,,06/11/2014,28,2,BANDAMAJI,POND,pond,temporary,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,1,06/11/2014,,1,0,1,1,1,0,0,0,2,,,30,30 min,09:35,4,,date of niclosamide was blank- added from survey date,284.4
1371,Kwandifu,498885,Pemba,MGOGONI,,2015,8,o,09/08/2015,37,1,MGOGONI,RICE PADDY,stream,permanent,27,1,1,0,0,1,0,0,1,0,0,0,0,3,1,,,32,1,09/08/2015,,1,0,1,1,1,0,0,0,2,,,24,24 min,11:07,2,,mismatch survey and orig niclosamide date format- at some point the niclo date got switched incorrectly to MM/DD/YYYY,57.8
1372,Kwandifu,498885,Pemba,MGOGONI,,2015,9,y,22/09/2015,38,2,MGOGONI,RICE PADDY,stream,permanent,3,1,1,0,0,1,0,0,0,0,0,0,0,2,1,,,33,2,22/09/2015,,1,0,1,1,1,0,0,0,1,,,12,12 min,10:32,1,,,39
